date	tweets
20090201	"| 2nd Feb, I will be in Dahod for Gujarat Swarnim Jayanti Yatra"
20090204	| An inspiring address to Scouts & Guides in Jamboree-2009. Watch live webcast at 6.00pm today on www.narendramodi.in
20090224	| Women would play a crucial role in the development of Gujarat: Chief Minister http://tinyurl.com/b6ltru
20090302	"| Chief Minister announces â€œSkill-Enhancement-Aid-Packageâ€ù for the unemployed Diamond-Artisans http://tinyurl.com/cjk3vd| Narendrabhai Modi: Through water conservation movement, Kutcha has an extraordinary ability to replicate Israel http://tinyurl.com/brs4az"
20090312	"| Reading: ""Modi dedicates Cybre long distance education service in Gujarat"" (http://twitthis.com/66cy9z)"
20090316	"| Reading: ""Gujarat posts 12.8% agriculture growth, highest in India"" (http://twitthis.com/8wq4j2)"
20090322	| @amitgupta Thank you very much for appreciating the website. Soon u will find hindi & sanskrit version. You are also doing many good things
20090331	"| A Call to the Nation!Listen Narendra Modi on your mobile,configure podcast to http://narendramodi.in/speech_feed,For help call to 9974309240"
20090401	| #  Your beloved leader Narendra Modi could be just around you !! Catch him up on google maps at http://narendramodi.in/schedule| # Your beloved leader Narendra Modi could be just around you !! Catch him up on google maps at http://narendramodi.in/schedule
20090404	"| Chief Minister's Tour Plan http://tinyurl.com/cpkq9l| Today whole day busy with election campaigns in Orissa, Nuapada at 10, balangir at 11.15, Brajrarnagar at 12, Kuchinda at 2.00,| Raikiya at 4 PM, Puri 5.30PM, Bhuwneswar at 8 PM"
20090405	"| Many friends are requesting for a badge or widget of www.narendramodi.in, that can be used on blogs, websites etc. Please give some ideas.| @PoweredByATP it can be. News and what's new feed can be integrated.| @mudittuli Still no plan is finalized"
20090406	"| Watch LIVE telecast of BJP STAR campaigner Narendra Modi's public meeting in Hydrabad on All regional channels of ETV from 7.30PM onwards| Reading: ""Ahmedabad only Indian city to get space at Shanghai Expo"" (http://twitthis.com/mktfd8)| Reading: ""Getting a hang of the Cs and Ps of governance in Gujarat"" (http://twitthis.com/r4naoz)"
20090408	| Narendra Modi today on Tour in Maharashtra to address rallies to strengthen BJP's election campaign. http://tinyurl.com/ccvlja
20090409	| â€œIndia will emerge as the powerful nation in the rule of L K Advaniâ€ù â€“ Narendra Modi. http://tinyurl.com/cf7asy| On whirlwind tour- 10th April in Uttar Pradesh and 11th April in Asssam
20090410	"| Here's a #twtcard for you all: http://twtcard.com/j5tzch ;)| Congress Government responsible for the crisis such as inflation, unemployment, poverty and lack of security in the country| Dear @PoweredByATP Very soon u will find Chief Minister's internship programme for students & sabbatical prog for working professional| Both will provide opportunities to work closely with Chief Minister. Committed youth is required, everything else will happen ...| â€œCongress and UPA government's rule has caused terrible damage to the country and is the biggest threat for the .. http://tinyurl.com/cjbwql| Reading: ""Narendra Modi : Home"" (http://twitthis.com/ifap6c)| New Tweetup: Interview, RSVP here: http://twtvite.com/epul0f #twtvite| Reading: ""BJP's Agenda to Empower Young India"" (http://twitthis.com/v5nnjh)"
20090411	"| Vote for Bringing Back Indian Black Money Deposited in Swiss Bank. Participate in the Nationwide Poll Campaign at www.narendramodi.in/polls| Today in Assam. Tomorrow again U P. Entire week campaigned in Goa, Maharastra, Uttar Pradesh, Chhattisgarh, Orissa, Karnataka, ..| Dadra-Nagar Haveli, Silvasa, Daman and has addressed 50 rallies.| Congress Party has given nothing to the common man except for fear, hunger and Poverty."
20090412	"| Adjudged BEST CHIEF MINISTER of India for 2009 for the third successive year in a NATIONWIDE opinion poll by INDIA TODAY.| See India Today's 20th April edition http://tinyurl.com/dhg65c| @anandbatra Sure, stay in touch. Join "" be volunteer"" program at www.narendramodi.in"
20090413	| @indian good| @Dosabandit Thank You
20090414	"| Pls watch an interesting one hour programme, ""SPECIAL ON MODIJI"" on SAMAY News channel tonight@ 9.30PM| @indian will provide you the video"
20090417	"| Today busy in election rallies Nana Ponda-10.00, Limbadi-11.30, Bharuch-3.30, Patlad-5.00, Nadiyad- 6.30| # Going to share life profile in a special programme ""KINGs and QUEENs"" on CNN IBN TV tonight at 10.00PM"
20090418	"| # PM terribly anguished over N-deal running into choppy waters, not troubled in the least by the sorry plight of Bihar's flood victims.| If voted to power BJP will initiate ....| Van Bandhu Kalyan Yojana, a successful Integrated Tribal Development model of Gujarat at the national level.| In the 5 years Congress has done nothing except 4 spreading the poison of Vote Bank Politics"
20090419	| Choose between the politics of Development and Vote bank. Audio speech uploaded at www.narendramodi.in| Tomorrow's schedule of Public Meetings mapped on googlemaps at www.narendramodi.in/schedule| @aniruddhdodiya It is there
20090420	"| # Please watch the telecast of the On-Board Interview with Brijesh Singh on STAR NEWS today at 4.30PM.| Common man's life not safe.Constant fear of terrorism in country in the rule of Congress party.| In last 7 years, BJP ruled Gujarat state has made tremendous progress| and has provided lots of required facilities such as water, electricity, roads, education and health care."
20090421	"| Please watch an Exclusive Interview tonight at 10.30PM in ""CHUTNI CHKRAWYUH"" on ETV Gujarati"
20090423	"| Reading: ""â€˜Congress has taken Muslims for granted'"" (http://twitthis.com/k76k7d)| Please watch an interview tonight : 23rd April, at 9.30PM on HEADLINES TODAY TV| will candid about Political & Personal life on Sahara Samay TV tonight (23rd April) @ 9.30PM| Reading: ""â€˜Modi is our unanimous choice' cries India"" (http://twitthis.com/sa7qgp)"
20090426	"| Launched Sanskrit and Hindi websites www.narendramodi.in| by Ashok Singhal the president of VHP, in the presence of Sanskrit and Hindi Laureates Shri Avichaldas Maharaj and Shri Daya Bhai Shastri| Shri Ashok Singhalji mentioned that Sanskrit language is the national treasure of the sages and their sagas on life,religion and literature"
20090427	| Hang me if I am guilty ! http://www.narendramodi.in/
20090428	"| Reading: ""Congress deserves to lose India's elections"" (http://twitthis.com/cvlqzs)| Reading: ""Modi solves political problems with hi-tech gadgetry"" (http://twitthis.com/g9ssmk)| # UK's FT flays the 'do-nothing, zero-reform hopeless PM' & 'reform backsliding' Govt.| Get Awaken@ http://tinyurl.com/cau5w2| # I am not the type of Iron which gets melted by Fire, I am the type which gets stronger like Steel !| Do your duty to Bharat Ma and promise to vote on the 30th of April. Inspire others in a unique way@ www.narendramodi.in/egreetings"
20090429	"| If guilty, hang me so that I am reborn to serve my Gujarat !| Your country needs you! Make sure that you vote tomorrow & take 10 others to vote too.| I shan't bow down, I shan't stop nor shall I tire ....| # Must listen speech for every Indian ! http://narendramodi.in/speeches/#"
20090501	| Share and Grow http://tinyurl.com/daml4y
20090504	"| I wish to ask the Prime Minister, are you not weak? If indeed you are a strong government, the country needs proof of that.| And I give you a chance, polling is still a few days away, If you have the guts, show us the proof of that.| Brothers and sisters, you'll must be watching the news coming out from Pakistan on television.| In Pakistan, the Taliban is inflicting its tyranny and in Pakistan, Sikhs are being persecuted, Sardars are being persecuted.| If Sardars wish to go to the Gurudwara, then jizia tax is extracted from them. Taliban has taken 5 crore rupees from the Sikhs as jizia.| The Indian government in Delhi which claims to be a strong government and the entire Congress Sultanate, I wish to ask them â€“| They've surrounded Sikh families.| The Taliban is persecuting my Sikh brothers, is destroying Gurudwaras, the persecution that Guru Gobind Singh had borne,| that persecution is once again being inflicted by the Taliban on Pakistan's soil. Prime Minister, tell me what has your government done?| What has it done, answer us? Are Sikhs our brothers and sisters or not? Should we help them in their hour of need or not?| Reading: ""International Media: Real power lies with Modi"" (http://twitthis.com/2etw37)| In my life, mission is everything, no ambition.| Work is my principle. Even if I was a municipal chairman, I would have worked as hard as I am as chief minister.| Not only in Gujarat, everywhere in India, people are fed up with vote bank politics.| They want change. They want development. That is the only driving force to change this government this time."
20090505	"| People still do not have water to drink, no roofs over their head and no proper education for children.| What has the politics of vote bank given us in the past 60 years ?| Since past 60 years, Muslims treated not as human beings but as vote banks. Listen at www.narendramodi.in| Despite the gloomy picture presented about Muslims in Gujarat, the Muslims of Gujarat have the maximum per capita income in the country."
