date	Event_Description	EventTweet	Tweet_ID
20141216	"On December 16, 2014, the Taliban invaded a school in Peshawar, Pakistan, killing over 100 people many of whom were young school children. Modi called it an ""senseless act of unspeakable brutality"" and appealed to schools across India to ""observe 2 minutes of silence as a mark of solidarity."""	India stands firmly with Pakistan in fight against terror. Told PM Sharif we are ready to provide all assistance during this hour of grief.	6268
20141225	"On Christmas Day 2014, Modi speaks with unorganized sector workers through video-conference software. At the time he was in Varanasi taking part in the “Shramyogi Kalyan Mela” of the Government of Gujarat."	Connected with unorganised sector workers across 20 locations of Gujarat through video-conferencing. http://t.co/nhIyszj5M4	6343
20150123	"On January 23, 2015, Modi addresses the tragic death of a young man who died saving his friend (March 11th, 2014). This tweet demonstrates Modi's involvement with the youth in India as well as his methods in gathering support through encouraging posts."	We will always remember the bravery of Gaurav Kumar Bharti. http://t.co/6cDNE4v1Mh	6615
20150127	"On January 27, 2015, Modi thanks Russian president, Vladimir Putin, for Putin's good wishes on India's Republic Day. This is an example of diplomacy through social media."	@PutinRF_Eng I would like to thank you for your good wishes on our Republic Day.	6652
20150212	"In the aftermath of the 2015 civic body polls, Modi congratulates BJP's Assam division for winning almost half of the 743 wards and 74 municipan boards in the state of Assam."	I congratulate Assam BJP for the commendable performance of the Party in the Municipal Polls held across the State.	6765
20150621	"On June 21, 2015, the first International Day of Yoga was held. The event was wildly popular in India and the rest of the world. He declared this day in front of the UN on September 27, 2014."	I congratulate each & every person who practiced Yoga today & made the 1st #YogaDay a success. http://t.co/kYbGHoyTXm	8246
20150816	"The United Arab Emirates decides to allocate land for the first Hindu temple in Abu Dhabi. Modi visited the UAE for 2 days, and his visit marked the first time an Indian politician visited UAE in 24 years. He met with Abu Dhabi's Crown Prince Sheikh Mohammed bin Zayed Al Nahyan and Dubai ruler Sheikh Mohammed bin Rashid Al Maktoum. http://www.aljazeera.com/news/2015/08/uae-allocates-land-abu-dhabi-hindu-temple-150817062426501.html"	I am very thankful to the UAE Govt for their decision to allot land in order to build a Temple in Abu Dhabi. This is a great step.	8746
20150917	"Modi turns 65 years old. Due to his social media popularity, he receives many congratulations."	A big thanks to you all for your kind wishes. It truly means a lot. Totally humbled by the affection.	9054
20150928	"Modi returns from spending a week in Ireland and the US. During his tour, he visited Ireland (the first time an Indian PM has visited Ireland in nearly 60 years). He also participated in a peacekeeping summit with President Obama in New York City. He concluded his trip by visiting with large US companies, such as Facebook and Google, interacting with the Indian-American community, and holding meetings with the Palestinian and Mexican presidents."	My gratitude to the American people for the very warm welcome & the hospitality wherever my delegation & I went.	9184
20110828	"Modi mourns and comments on Anna's rejection of the ""Right to Reject"" bill. The ""Right to Reject"" bill will allow voters to reject all parties in the elections. Modi claims that this will make the democracy stronger."	Today #Anna gave call for ‘Right to Reject’. #Gujarat govt passed bill for this cause twice in 2008 & 2009. Sadly Governor rejected it.	490
